# file...... house1_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1:air_temperature, house1:outdoor_temperature, house1:is_COOL_on, house1:cooling_setpoint, house1_meter:measured_real_power, house1_meter:measured_real_energy
2017-10-23 23:59:00 EDT,+70,+57.991,+1,+65,+7402.1,+0
2017-10-24 00:00:00 EDT,+68.5501,+57.922,+1,+65,+7399.68,+123.368
2017-10-24 00:01:00 EDT,+67.3815,+57.907,+1,+65,+7399.15,+246.696
2017-10-24 00:02:00 EDT,+66.432,+57.892,+1,+65,+7398.63,+370.015
2017-10-24 00:03:00 EDT,+65.6515,+57.877,+1,+65,+7398.1,+493.326
2017-10-24 00:04:00 EDT,+65.0017,+57.862,+1,+65,+7397.57,+616.628
2017-10-24 00:05:00 EDT,+64.4527,+57.847,+1,+65,+7397.05,+739.92
2017-10-24 00:06:00 EDT,+63.9817,+57.832,+1,+65,+7396.52,+863.205
2017-10-24 00:07:00 EDT,+63.5711,+57.817,+1,+65,+7395.99,+986.48
2017-10-24 00:08:00 EDT,+63.2071,+57.802,+1,+65,+7395.27,+1109.74
2017-10-24 00:09:00 EDT,+62.8796,+57.787,+1,+65,+7394.74,+1233
2017-10-24 00:10:00 EDT,+62.5802,+57.772,+1,+65,+7394.41,+1356.25
2017-10-24 00:11:00 EDT,+62.3026,+57.757,+1,+65,+7393.88,+1479.49
2017-10-24 00:12:00 EDT,+62.0421,+57.742,+1,+65,+7393.36,+1602.72
2017-10-24 00:13:00 EDT,+62.9416,+57.727,+0,+65,+4445,+1685.81
2017-10-24 00:14:00 EDT,+63.8657,+57.712,+0,+65,+4445,+1759.89
2017-10-24 00:15:00 EDT,+66.2957,+57.697,+0,+65,+11106.9,+1924.67
2017-10-24 00:16:00 EDT,+68.5892,+57.682,+0,+65,+11105.9,+2109.78
2017-10-24 00:17:00 EDT,+68.743,+57.667,+0,+65,+4445,+2204.22
2017-10-24 00:18:00 EDT,+68.5417,+57.652,+0,+65,+4445,+2278.3
2017-10-24 00:19:00 EDT,+67.248,+57.637,+1,+65,+7389.66,+2392.47
2017-10-24 00:20:00 EDT,+65.9828,+57.622,+1,+65,+7389.14,+2515.63
2017-10-24 00:21:00 EDT,+64.9605,+57.607,+1,+65,+7388.61,+2638.78
2017-10-24 00:22:00 EDT,+64.1255,+57.592,+1,+65,+7388.08,+2761.93
2017-10-24 00:23:00 EDT,+63.4352,+57.577,+1,+65,+7387.55,+2885.06
2017-10-24 00:24:00 EDT,+62.8567,+57.562,+1,+65,+7387.02,+3008.19
2017-10-24 00:25:00 EDT,+62.3645,+57.547,+1,+65,+7386.49,+3131.31
2017-10-24 00:26:00 EDT,+62.1654,+57.532,+0,+65,+4445,+3247.06
2017-10-24 00:27:00 EDT,+63.1272,+57.517,+0,+65,+4445,+3321.14
2017-10-24 00:28:00 EDT,+64.2144,+57.502,+0,+65,+11094.2,+3411.85
