# file...... house_load.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,house1_meter:measured_real_power, house2_meter:measured_real_power, house3_meter:measured_real_power
2017-10-23 23:59:00 EDT,+7402.1,+2909,+1999
2017-10-24 00:00:00 EDT,+7399.68,+2909,+1999
2017-10-24 00:01:00 EDT,+7399.15,+2909,+1999
2017-10-24 00:02:00 EDT,+7398.63,+2909,+1999
2017-10-24 00:03:00 EDT,+7398.1,+2909,+1999
2017-10-24 00:04:00 EDT,+7397.57,+2909,+1999
2017-10-24 00:05:00 EDT,+7397.05,+2909,+1999
2017-10-24 00:06:00 EDT,+7396.52,+2909,+1999
2017-10-24 00:07:00 EDT,+7395.99,+2909,+1999
2017-10-24 00:08:00 EDT,+7395.27,+12855.8,+1999
2017-10-24 00:09:00 EDT,+7394.74,+12854.3,+1999
2017-10-24 00:10:00 EDT,+7394.41,+2909,+1999
2017-10-24 00:11:00 EDT,+7393.88,+2909,+1999
2017-10-24 00:12:00 EDT,+7393.36,+2909,+1999
2017-10-24 00:13:00 EDT,+4445,+2909,+1999
2017-10-24 00:14:00 EDT,+4445,+2909,+1999
2017-10-24 00:15:00 EDT,+11106.9,+2909,+1999
2017-10-24 00:16:00 EDT,+11105.9,+2909,+1999
2017-10-24 00:17:00 EDT,+4445,+2909,+1999
2017-10-24 00:18:00 EDT,+4445,+2909,+1999
2017-10-24 00:19:00 EDT,+7389.66,+2909,+1999
2017-10-24 00:20:00 EDT,+7389.14,+2909,+1999
2017-10-24 00:21:00 EDT,+7388.61,+2909,+1999
2017-10-24 00:22:00 EDT,+7388.08,+2909,+1999
2017-10-24 00:23:00 EDT,+7387.55,+2909,+1999
2017-10-24 00:24:00 EDT,+7387.02,+2909,+1999
2017-10-24 00:25:00 EDT,+7386.49,+2909,+1999
2017-10-24 00:26:00 EDT,+4445,+12829.7,+1999
2017-10-24 00:27:00 EDT,+4445,+12828.3,+1999
2017-10-24 00:28:00 EDT,+11094.2,+2909,+1999
2017-10-24 00:29:00 EDT,+11093.3,+2909,+1999
2017-10-24 00:30:00 EDT,+4445,+2909,+1999
2017-10-24 00:31:00 EDT,+4445,+2909,+1999
2017-10-24 00:32:00 EDT,+7382.79,+2909,+1999
2017-10-24 00:33:00 EDT,+7382.26,+2909,+1999
2017-10-24 00:34:00 EDT,+7381.73,+2909,+1999
2017-10-24 00:35:00 EDT,+7381.2,+2909,+1999
2017-10-24 00:36:00 EDT,+7380.68,+2909,+1999
2017-10-24 00:37:00 EDT,+7380.15,+2909,+1999
2017-10-24 00:38:00 EDT,+7379.62,+2909,+1999
2017-10-24 00:39:00 EDT,+4445,+2909,+1999
2017-10-24 00:40:00 EDT,+4445,+2909,+1999
2017-10-24 00:41:00 EDT,+11081.6,+2909,+1999
2017-10-24 00:42:00 EDT,+11080.7,+2909,+1999
2017-10-24 00:43:00 EDT,+4445,+2909,+1999
2017-10-24 00:44:00 EDT,+4445,+2909,+1999
2017-10-24 00:45:00 EDT,+4445,+2909,+1999
2017-10-24 00:46:00 EDT,+4445,+12800.6,+1999
2017-10-24 00:47:00 EDT,+4445,+12799.2,+1999
2017-10-24 00:48:00 EDT,+4445,+2909,+1999
2017-10-24 00:49:00 EDT,+4445,+2909,+1999
2017-10-24 00:50:00 EDT,+4445,+2909,+1999
2017-10-24 00:51:00 EDT,+4445,+2909,+1999
2017-10-24 00:52:00 EDT,+4445,+2909,+1999
2017-10-24 00:53:00 EDT,+4445,+2909,+1999
2017-10-24 00:54:00 EDT,+4445,+2909,+1999
2017-10-24 00:55:00 EDT,+4445,+2909,+1999
2017-10-24 00:56:00 EDT,+4445,+2909,+1999
2017-10-24 00:57:00 EDT,+4445,+2909,+1999
2017-10-24 00:58:00 EDT,+4445,+2909,+1999
2017-10-24 00:59:00 EDT,+4445,+2909,+1999
2017-10-24 01:00:00 EDT,+4445,+2909,+1999
2017-10-24 01:01:00 EDT,+4445,+2909,+1999
2017-10-24 01:02:00 EDT,+4445,+2909,+1999
2017-10-24 01:03:00 EDT,+4445,+2909,+1999
2017-10-24 01:04:00 EDT,+4445,+2909,+1999
2017-10-24 01:05:00 EDT,+4445,+12748.6,+1999
2017-10-24 01:06:00 EDT,+4445,+12742.3,+1999
2017-10-24 01:07:00 EDT,+4445,+2909,+1999
2017-10-24 01:08:00 EDT,+4445,+2909,+1999
2017-10-24 01:09:00 EDT,+4445,+2909,+1999
2017-10-24 01:10:00 EDT,+4445,+2909,+1999
2017-10-24 01:11:00 EDT,+4445,+2909,+1999
2017-10-24 01:12:00 EDT,+4445,+2909,+1999
2017-10-24 01:13:00 EDT,+4445,+2909,+1999
2017-10-24 01:14:00 EDT,+4445,+2909,+1999
2017-10-24 01:15:00 EDT,+4445,+2909,+1999
2017-10-24 01:16:00 EDT,+4445,+2909,+1999
2017-10-24 01:17:00 EDT,+4445,+2909,+1999
2017-10-24 01:18:00 EDT,+4445,+2909,+1999
2017-10-24 01:19:00 EDT,+7323.18,+2909,+1999
2017-10-24 01:20:00 EDT,+7320.8,+2909,+1999
2017-10-24 01:21:00 EDT,+7318.24,+12648,+1999
2017-10-24 01:22:00 EDT,+7315.87,+12641.8,+1999
2017-10-24 01:23:00 EDT,+7313.67,+2909,+1999
2017-10-24 01:24:00 EDT,+7311.29,+2909,+1999
2017-10-24 01:25:00 EDT,+7308.91,+2909,+1999
2017-10-24 01:26:00 EDT,+4445,+2909,+1999
2017-10-24 01:27:00 EDT,+4445,+2909,+1999
2017-10-24 01:28:00 EDT,+10946.1,+2909,+1999
2017-10-24 01:29:00 EDT,+10942,+2909,+1999
2017-10-24 01:30:00 EDT,+4445,+2909,+1999
2017-10-24 01:31:00 EDT,+4445,+2909,+1999
2017-10-24 01:32:00 EDT,+4445,+2909,+1999
2017-10-24 01:33:00 EDT,+4445,+2909,+1999
2017-10-24 01:34:00 EDT,+4445,+2909,+1999
2017-10-24 01:35:00 EDT,+4445,+12561.6,+1999
2017-10-24 01:36:00 EDT,+4445,+12555.5,+1999
2017-10-24 01:37:00 EDT,+4445,+2909,+1999
2017-10-24 01:38:00 EDT,+4445,+2909,+1999
2017-10-24 01:39:00 EDT,+4445,+2909,+1999
2017-10-24 01:40:00 EDT,+4445,+2909,+1999
2017-10-24 01:41:00 EDT,+4445,+2909,+1999
2017-10-24 01:42:00 EDT,+4445,+2909,+1999
2017-10-24 01:43:00 EDT,+4445,+2909,+1999
2017-10-24 01:44:00 EDT,+4445,+2909,+1999
2017-10-24 01:45:00 EDT,+4445,+2909,+1999
2017-10-24 01:46:00 EDT,+4445,+2909,+1999
2017-10-24 01:47:00 EDT,+4445,+2909,+1999
2017-10-24 01:48:00 EDT,+4445,+12482.5,+1999
2017-10-24 01:49:00 EDT,+4445,+12476.4,+1999
2017-10-24 01:50:00 EDT,+4445,+2909,+7543.29
2017-10-24 01:51:00 EDT,+4445,+2909,+7539.77
2017-10-24 01:52:00 EDT,+4445,+2909,+1999
2017-10-24 01:53:00 EDT,+4445,+2909,+1999
2017-10-24 01:54:00 EDT,+4445,+2909,+1999
2017-10-24 01:55:00 EDT,+4445,+2909,+1999
2017-10-24 01:56:00 EDT,+4445,+2909,+1999
2017-10-24 01:57:00 EDT,+4445,+2909,+1999
2017-10-24 01:58:00 EDT,+4445,+2909,+1999
2017-10-24 01:59:00 EDT,+4445,+2909,+1999
2017-10-24 02:00:00 EDT,+4445,+12410.4,+1999
2017-10-24 02:01:00 EDT,+4445,+12413.4,+1999
2017-10-24 02:02:00 EDT,+4445,+2909,+1999
2017-10-24 02:03:00 EDT,+4445,+2909,+1999
2017-10-24 02:04:00 EDT,+4445,+2909,+1999
2017-10-24 02:05:00 EDT,+4445,+2909,+1999
2017-10-24 02:06:00 EDT,+4445,+2909,+7518.73
2017-10-24 02:07:00 EDT,+4445,+2909,+7520.48
2017-10-24 02:08:00 EDT,+4445,+2909,+1999
2017-10-24 02:09:00 EDT,+4445,+2909,+1999
2017-10-24 02:10:00 EDT,+4445,+2909,+1999
2017-10-24 02:11:00 EDT,+4445,+12443.3,+1999
2017-10-24 02:12:00 EDT,+4445,+12446.3,+1999
2017-10-24 02:13:00 EDT,+4445,+2909,+1999
2017-10-24 02:14:00 EDT,+4445,+2909,+1999
2017-10-24 02:15:00 EDT,+4445,+2909,+1999
2017-10-24 02:16:00 EDT,+4445,+2909,+1999
2017-10-24 02:17:00 EDT,+4445,+2909,+1999
2017-10-24 02:18:00 EDT,+4445,+2909,+1999
2017-10-24 02:19:00 EDT,+4445,+2909,+1999
2017-10-24 02:20:00 EDT,+7248.78,+2909,+1999
2017-10-24 02:21:00 EDT,+7250,+2909,+1999
2017-10-24 02:22:00 EDT,+7251.21,+2909,+1999
2017-10-24 02:23:00 EDT,+7252.42,+2909,+1999
2017-10-24 02:24:00 EDT,+7253.35,+12481.6,+7549.54
2017-10-24 02:25:00 EDT,+7254.56,+12484.6,+7551.31
2017-10-24 02:26:00 EDT,+7256.06,+2909,+1999
2017-10-24 02:27:00 EDT,+4445,+2909,+1999
2017-10-24 02:28:00 EDT,+4445,+2909,+1999
2017-10-24 02:29:00 EDT,+10874.7,+2909,+1999
2017-10-24 02:30:00 EDT,+10876.7,+2909,+1999
2017-10-24 02:31:00 EDT,+4445,+2909,+1999
2017-10-24 02:32:00 EDT,+4445,+2909,+1999
2017-10-24 02:33:00 EDT,+4445,+2909,+1999
2017-10-24 02:34:00 EDT,+4445,+2909,+1999
2017-10-24 02:35:00 EDT,+4445,+2909,+1999
2017-10-24 02:36:00 EDT,+4445,+2909,+1999
2017-10-24 02:37:00 EDT,+4445,+12521.9,+1999
2017-10-24 02:38:00 EDT,+4445,+12524.9,+1999
2017-10-24 02:39:00 EDT,+4445,+2909,+1999
2017-10-24 02:40:00 EDT,+4445,+2909,+1999
2017-10-24 02:41:00 EDT,+4445,+2909,+1999
2017-10-24 02:42:00 EDT,+4445,+2909,+1999
2017-10-24 02:43:00 EDT,+4445,+2909,+7584.07
2017-10-24 02:44:00 EDT,+4445,+2909,+7585.85
2017-10-24 02:45:00 EDT,+4445,+2909,+1999
2017-10-24 02:46:00 EDT,+4445,+2909,+1999
2017-10-24 02:47:00 EDT,+4445,+2909,+1999
2017-10-24 02:48:00 EDT,+4445,+2909,+1999
2017-10-24 02:49:00 EDT,+4445,+2909,+1999
2017-10-24 02:50:00 EDT,+4445,+12561.6,+1999
2017-10-24 02:51:00 EDT,+4445,+12564.7,+1999
2017-10-24 02:52:00 EDT,+4445,+2909,+1999
2017-10-24 02:53:00 EDT,+4445,+2909,+1999
2017-10-24 02:54:00 EDT,+4445,+2909,+1999
2017-10-24 02:55:00 EDT,+4445,+2909,+1999
2017-10-24 02:56:00 EDT,+4445,+2909,+1999
2017-10-24 02:57:00 EDT,+4445,+2909,+1999
2017-10-24 02:58:00 EDT,+4445,+2909,+1999
2017-10-24 02:59:00 EDT,+4445,+2909,+1999
2017-10-24 03:00:00 EDT,+4445,+2909,+1999
2017-10-24 03:01:00 EDT,+4445,+2909,+1999
2017-10-24 03:02:00 EDT,+4445,+2909,+1999
2017-10-24 03:03:00 EDT,+7300.56,+2909,+1999
2017-10-24 03:04:00 EDT,+7301.75,+2909,+1999
2017-10-24 03:05:00 EDT,+7302.76,+12607.7,+1999
2017-10-24 03:06:00 EDT,+7303.85,+12610,+7624.53
2017-10-24 03:07:00 EDT,+7305.23,+2909,+7627.06
2017-10-24 03:08:00 EDT,+7306.53,+2909,+1999
2017-10-24 03:09:00 EDT,+7307.72,+2909,+1999
2017-10-24 03:10:00 EDT,+4445,+2909,+1999
2017-10-24 03:11:00 EDT,+4445,+2909,+1999
2017-10-24 03:12:00 EDT,+10962.7,+2909,+1999
2017-10-24 03:13:00 EDT,+10964.7,+2909,+1999
2017-10-24 03:14:00 EDT,+4445,+2909,+1999
2017-10-24 03:15:00 EDT,+4445,+2909,+1999
2017-10-24 03:16:00 EDT,+7316.05,+2909,+1999
2017-10-24 03:17:00 EDT,+7317.24,+2909,+1999
2017-10-24 03:18:00 EDT,+7318.43,+2909,+1999
2017-10-24 03:19:00 EDT,+7319.62,+2909,+1999
2017-10-24 03:20:00 EDT,+7320.8,+2909,+1999
2017-10-24 03:21:00 EDT,+7321.8,+12657.3,+1999
2017-10-24 03:22:00 EDT,+7322.99,+12660.5,+1999
2017-10-24 03:23:00 EDT,+4445,+2909,+1999
2017-10-24 03:24:00 EDT,+4445,+2909,+1999
2017-10-24 03:25:00 EDT,+10989.7,+2909,+1999
2017-10-24 03:26:00 EDT,+10991.7,+2909,+1999
2017-10-24 03:27:00 EDT,+4445,+2909,+1999
2017-10-24 03:28:00 EDT,+4445,+2909,+1999
2017-10-24 03:29:00 EDT,+4445,+2909,+1999
2017-10-24 03:30:00 EDT,+4445,+2909,+1999
2017-10-24 03:31:00 EDT,+4445,+2909,+1999
2017-10-24 03:32:00 EDT,+4445,+2909,+1999
2017-10-24 03:33:00 EDT,+4445,+2909,+7674.48
2017-10-24 03:34:00 EDT,+4445,+2909,+7676.31
2017-10-24 03:35:00 EDT,+4445,+2909,+1999
2017-10-24 03:36:00 EDT,+4445,+2909,+1999
2017-10-24 03:37:00 EDT,+4445,+2909,+1999
2017-10-24 03:38:00 EDT,+4445,+2909,+1999
2017-10-24 03:39:00 EDT,+4445,+12713.9,+1999
2017-10-24 03:40:00 EDT,+4445,+12717.1,+1999
2017-10-24 03:41:00 EDT,+4445,+2909,+1999
2017-10-24 03:42:00 EDT,+4445,+2909,+1999
2017-10-24 03:43:00 EDT,+4445,+2909,+1999
2017-10-24 03:44:00 EDT,+4445,+2909,+1999
2017-10-24 03:45:00 EDT,+4445,+2909,+1999
2017-10-24 03:46:00 EDT,+4445,+2909,+1999
2017-10-24 03:47:00 EDT,+4445,+2909,+1999
2017-10-24 03:48:00 EDT,+4445,+2909,+1999
2017-10-24 03:49:00 EDT,+4445,+2909,+1999
2017-10-24 03:50:00 EDT,+4445,+2909,+1999
2017-10-24 03:51:00 EDT,+4445,+2909,+1999
2017-10-24 03:52:00 EDT,+4445,+2909,+1999
2017-10-24 03:53:00 EDT,+4445,+2909,+1999
2017-10-24 03:54:00 EDT,+4445,+2909,+1999
2017-10-24 03:55:00 EDT,+4445,+2909,+1999
2017-10-24 03:56:00 EDT,+4445,+2909,+1999
2017-10-24 03:57:00 EDT,+4445,+2909,+1999
2017-10-24 03:58:00 EDT,+7365.6,+2909,+1999
2017-10-24 03:59:00 EDT,+7366.58,+12777,+1999
2017-10-24 04:00:00 EDT,+7367.75,+12780.2,+1999
2017-10-24 04:01:00 EDT,+7366.13,+2909,+1999
2017-10-24 04:02:00 EDT,+7364.32,+2909,+1999
2017-10-24 04:03:00 EDT,+7362.51,+2909,+1999
2017-10-24 04:04:00 EDT,+7360.7,+2909,+1999
2017-10-24 04:05:00 EDT,+7358.89,+2909,+1999
2017-10-24 04:06:00 EDT,+4445,+2909,+7707.1
2017-10-24 04:07:00 EDT,+4445,+2909,+7704.25
2017-10-24 04:08:00 EDT,+11037.1,+2909,+1999
2017-10-24 04:09:00 EDT,+11033.9,+2909,+1999
2017-10-24 04:10:00 EDT,+4445,+2909,+1999
2017-10-24 04:11:00 EDT,+4445,+2909,+1999
2017-10-24 04:12:00 EDT,+7346.17,+2909,+1999
2017-10-24 04:13:00 EDT,+7344.35,+2909,+1999
2017-10-24 04:14:00 EDT,+7342.53,+2909,+1999
2017-10-24 04:15:00 EDT,+7340.71,+2909,+1999
2017-10-24 04:16:00 EDT,+7338.88,+2909,+1999
2017-10-24 04:17:00 EDT,+7336.87,+12697.2,+1999
2017-10-24 04:18:00 EDT,+7335.05,+12692.3,+1999
2017-10-24 04:19:00 EDT,+4445,+2909,+1999
2017-10-24 04:20:00 EDT,+4445,+2909,+1999
2017-10-24 04:21:00 EDT,+10995,+2909,+1999
2017-10-24 04:22:00 EDT,+10991.7,+2909,+1999
2017-10-24 04:23:00 EDT,+4445,+2909,+1999
2017-10-24 04:24:00 EDT,+4445,+2909,+1999
2017-10-24 04:25:00 EDT,+4445,+2909,+1999
2017-10-24 04:26:00 EDT,+4445,+2909,+1999
2017-10-24 04:27:00 EDT,+4445,+2909,+1999
2017-10-24 04:28:00 EDT,+4445,+2909,+1999
2017-10-24 04:29:00 EDT,+4445,+2909,+1999
2017-10-24 04:30:00 EDT,+4445,+2909,+7639.18
2017-10-24 04:31:00 EDT,+4445,+2909,+7636.38
2017-10-24 04:32:00 EDT,+4445,+2909,+1999
2017-10-24 04:33:00 EDT,+4445,+12620.2,+1999
2017-10-24 04:34:00 EDT,+4445,+12615.4,+1999
2017-10-24 04:35:00 EDT,+4445,+2909,+1999
2017-10-24 04:36:00 EDT,+4445,+2909,+1999
2017-10-24 04:37:00 EDT,+4445,+2909,+1999
2017-10-24 04:38:00 EDT,+4445,+2909,+1999
2017-10-24 04:39:00 EDT,+4445,+2909,+1999
2017-10-24 04:40:00 EDT,+4445,+2909,+1999
2017-10-24 04:41:00 EDT,+4445,+2909,+1999
2017-10-24 04:42:00 EDT,+4445,+2909,+1999
2017-10-24 04:43:00 EDT,+4445,+2909,+1999
2017-10-24 04:44:00 EDT,+4445,+2909,+1999
2017-10-24 04:45:00 EDT,+4445,+2909,+1999
2017-10-24 04:46:00 EDT,+4445,+2909,+1999
2017-10-24 04:47:00 EDT,+4445,+12553.6,+1999
2017-10-24 04:48:00 EDT,+4445,+12548.8,+1999
2017-10-24 04:49:00 EDT,+4445,+2909,+7586.34
2017-10-24 04:50:00 EDT,+4445,+2909,+7583.58
2017-10-24 04:51:00 EDT,+4445,+2909,+1999
2017-10-24 04:52:00 EDT,+4445,+2909,+1999
2017-10-24 04:53:00 EDT,+4445,+2909,+1999
2017-10-24 04:54:00 EDT,+4445,+2909,+1999
2017-10-24 04:55:00 EDT,+4445,+2909,+1999
2017-10-24 04:56:00 EDT,+4445,+2909,+1999
2017-10-24 04:57:00 EDT,+4445,+2909,+1999
2017-10-24 04:58:00 EDT,+4445,+2909,+1999
2017-10-24 04:59:00 EDT,+4445,+2909,+1999
2017-10-24 05:00:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:01:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:02:00 EDT,+4445,+2909,+1999
2017-10-24 05:03:00 EDT,+4445,+2909,+1999
2017-10-24 05:04:00 EDT,+4445,+2909,+1999
2017-10-24 05:05:00 EDT,+4445,+2909,+1999
2017-10-24 05:06:00 EDT,+4445,+2909,+1999
2017-10-24 05:07:00 EDT,+4445,+2909,+7556.13
2017-10-24 05:08:00 EDT,+4445,+2909,+7556.13
2017-10-24 05:09:00 EDT,+4445,+2909,+1999
2017-10-24 05:10:00 EDT,+4445,+2909,+1999
2017-10-24 05:11:00 EDT,+4445,+2909,+1999
2017-10-24 05:12:00 EDT,+4445,+2909,+1999
2017-10-24 05:13:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:14:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:15:00 EDT,+4445,+2909,+1999
2017-10-24 05:16:00 EDT,+4445,+2909,+1999
2017-10-24 05:17:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:18:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:19:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:20:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:21:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:22:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:23:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:24:00 EDT,+7257.6,+2909,+1999
2017-10-24 05:25:00 EDT,+4445,+12491.7,+7555.43
2017-10-24 05:26:00 EDT,+4445,+12491.7,+7555.43
2017-10-24 05:27:00 EDT,+10871.2,+2909,+1999
2017-10-24 05:28:00 EDT,+10871.2,+2909,+1999
2017-10-24 05:29:00 EDT,+4445,+2909,+1999
2017-10-24 05:30:00 EDT,+4445,+2909,+1999
2017-10-24 05:31:00 EDT,+4445,+2909,+1999
2017-10-24 05:32:00 EDT,+4445,+2909,+1999
2017-10-24 05:33:00 EDT,+4445,+2909,+1999
2017-10-24 05:34:00 EDT,+4445,+2909,+1999
2017-10-24 05:35:00 EDT,+4445,+2909,+1999
2017-10-24 05:36:00 EDT,+4445,+2909,+1999
2017-10-24 05:37:00 EDT,+4445,+2909,+1999
2017-10-24 05:38:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:39:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:40:00 EDT,+4445,+2909,+1999
2017-10-24 05:41:00 EDT,+4445,+2909,+1999
2017-10-24 05:42:00 EDT,+4445,+2909,+1999
2017-10-24 05:43:00 EDT,+4445,+2909,+1999
2017-10-24 05:44:00 EDT,+4445,+2909,+7556.13
2017-10-24 05:45:00 EDT,+4445,+2909,+7556.13
2017-10-24 05:46:00 EDT,+4445,+2909,+1999
2017-10-24 05:47:00 EDT,+4445,+2909,+1999
2017-10-24 05:48:00 EDT,+4445,+2909,+1999
2017-10-24 05:49:00 EDT,+4445,+2909,+1999
2017-10-24 05:50:00 EDT,+4445,+2909,+1999
2017-10-24 05:51:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:52:00 EDT,+4445,+12492.4,+1999
2017-10-24 05:53:00 EDT,+4445,+2909,+1999
2017-10-24 05:54:00 EDT,+4445,+2909,+1999
2017-10-24 05:55:00 EDT,+4445,+2909,+1999
2017-10-24 05:56:00 EDT,+4445,+2909,+1999
2017-10-24 05:57:00 EDT,+4445,+2909,+1999
2017-10-24 05:58:00 EDT,+4445,+2909,+1999
2017-10-24 05:59:00 EDT,+4445,+2909,+1999
2017-10-24 06:00:00 EDT,+4445,+2909,+1999
2017-10-24 06:01:00 EDT,+4445,+2909,+1999
2017-10-24 06:02:00 EDT,+4445,+2909,+1999
2017-10-24 06:03:00 EDT,+4445,+2909,+7561.44
2017-10-24 06:04:00 EDT,+4445,+2909,+7563.21
2017-10-24 06:05:00 EDT,+7263.46,+12507.3,+1999
2017-10-24 06:06:00 EDT,+7264.67,+12510.4,+1999
2017-10-24 06:07:00 EDT,+7266.06,+2909,+1999
2017-10-24 06:08:00 EDT,+7267.27,+2909,+1999
2017-10-24 06:09:00 EDT,+7268.47,+2909,+1999
2017-10-24 06:10:00 EDT,+7269.68,+2909,+1999
2017-10-24 06:11:00 EDT,+7270.88,+2909,+1999
2017-10-24 06:12:00 EDT,+7272.09,+2909,+1999
2017-10-24 06:13:00 EDT,+4445,+2909,+1999
2017-10-24 06:14:00 EDT,+4445,+2909,+1999
2017-10-24 06:15:00 EDT,+10901.6,+2909,+1999
2017-10-24 06:16:00 EDT,+10903.6,+2909,+1999
2017-10-24 06:17:00 EDT,+4445,+2909,+1999
2017-10-24 06:18:00 EDT,+4445,+2909,+1999
2017-10-24 06:19:00 EDT,+7280.33,+12550,+1999
2017-10-24 06:20:00 EDT,+7281.53,+12553.1,+1999
2017-10-24 06:21:00 EDT,+7282.92,+2909,+1999
2017-10-24 06:22:00 EDT,+7284.12,+2909,+1999
2017-10-24 06:23:00 EDT,+7285.32,+2909,+1999
2017-10-24 06:24:00 EDT,+7286.52,+2909,+1999
2017-10-24 06:25:00 EDT,+4445,+2909,+1999
2017-10-24 06:26:00 EDT,+4445,+2909,+1999
2017-10-24 06:27:00 EDT,+10926.1,+2909,+1999
2017-10-24 06:28:00 EDT,+10928.2,+2909,+1999
2017-10-24 06:29:00 EDT,+4445,+2909,+1999
2017-10-24 06:30:00 EDT,+4445,+2909,+7609.63
2017-10-24 06:31:00 EDT,+4445,+2909,+7611.43
2017-10-24 06:32:00 EDT,+4445,+2909,+1999
2017-10-24 06:33:00 EDT,+4445,+2909,+1999
2017-10-24 06:34:00 EDT,+4445,+2909,+1999
2017-10-24 06:35:00 EDT,+4445,+2909,+1999
2017-10-24 06:36:00 EDT,+4445,+2909,+1999
2017-10-24 06:37:00 EDT,+4445,+12605.6,+1999
2017-10-24 06:38:00 EDT,+4445,+12608.7,+1999
2017-10-24 06:39:00 EDT,+4445,+2909,+1999
2017-10-24 06:40:00 EDT,+4445,+2909,+1999
2017-10-24 06:41:00 EDT,+4445,+2909,+1999
2017-10-24 06:42:00 EDT,+4445,+2909,+1999
2017-10-24 06:43:00 EDT,+4445,+2909,+1999
2017-10-24 06:44:00 EDT,+4445,+2909,+1999
2017-10-24 06:45:00 EDT,+4445,+2909,+1999
2017-10-24 06:46:00 EDT,+4445,+2909,+1999
2017-10-24 06:47:00 EDT,+4445,+2909,+1999
2017-10-24 06:48:00 EDT,+4445,+2909,+1999
2017-10-24 06:49:00 EDT,+4445,+2909,+1999
2017-10-24 06:50:00 EDT,+4445,+2909,+1999
2017-10-24 06:51:00 EDT,+4445,+2909,+1999
2017-10-24 06:52:00 EDT,+4445,+2909,+1999
2017-10-24 06:53:00 EDT,+4445,+2909,+1999
2017-10-24 06:54:00 EDT,+4445,+2909,+1999
2017-10-24 06:55:00 EDT,+7323.5,+2909,+1999
2017-10-24 06:56:00 EDT,+7324.69,+2909,+1999
2017-10-24 06:57:00 EDT,+7325.87,+2909,+1999
2017-10-24 06:58:00 EDT,+7327.06,+2909,+1999
2017-10-24 06:59:00 EDT,+7328.24,+2909,+1999
2017-10-24 07:00:00 EDT,+7329.43,+2909,+1999
2017-10-24 07:01:00 EDT,+7330.42,+12680.1,+1999
2017-10-24 07:02:00 EDT,+7331.61,+12683.2,+1999
2017-10-24 07:03:00 EDT,+4445,+2909,+1999
2017-10-24 07:04:00 EDT,+4445,+2909,+1999
2017-10-24 07:05:00 EDT,+11004.8,+2909,+1999
2017-10-24 07:06:00 EDT,+11006.9,+2909,+1999
2017-10-24 07:07:00 EDT,+4445,+2909,+1999
2017-10-24 07:08:00 EDT,+4445,+2909,+1999
2017-10-24 07:09:00 EDT,+7340.06,+2909,+1999
2017-10-24 07:10:00 EDT,+7341.24,+2909,+1999
2017-10-24 07:11:00 EDT,+7342.42,+2909,+1999
2017-10-24 07:12:00 EDT,+7343.6,+2909,+1999
2017-10-24 07:13:00 EDT,+7344.78,+2909,+1999
2017-10-24 07:14:00 EDT,+7345.96,+2909,+1999
