# file...... substation_data.csv
# date...... Tue Oct 24 14:47:55 2017
# user...... nomad
# host...... (null)
# target.... meter 12
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_voltage_A, measured_current_A, measured_power_A
2017-10-23 23:59:00 EDT,+7215.99-0.000177881d,+1.7075-0.431817j,+12709.2+14.192d
2017-10-24 00:00:00 EDT,+7215.99-0.000177846d,+1.70716-0.431731j,+12706.7+14.192d
2017-10-24 00:01:00 EDT,+7215.99-0.000177838d,+1.70709-0.431712j,+12706.2+14.192d
2017-10-24 00:02:00 EDT,+7215.99-0.00017783d,+1.70702-0.431694j,+12705.6+14.192d
2017-10-24 00:03:00 EDT,+7215.99-0.000177823d,+1.70695-0.431675j,+12705.1+14.192d
2017-10-24 00:04:00 EDT,+7215.99-0.000177815d,+1.70687-0.431656j,+12704.5+14.192d
2017-10-24 00:05:00 EDT,+7215.99-0.000177808d,+1.7068-0.431638j,+12704+14.192d
2017-10-24 00:06:00 EDT,+7215.99-0.0001778d,+1.70673-0.431619j,+12703.4+14.192d
2017-10-24 00:07:00 EDT,+7215.99-0.000177792d,+1.70665-0.4316j,+12702.9+14.192d
2017-10-24 00:08:00 EDT,+7215.98-0.000321561d,+3.08762-0.786728j,+22992.1+14.2945d
2017-10-24 00:09:00 EDT,+7215.98-0.000321533d,+3.08735-0.786656j,+22990.1+14.2945d
2017-10-24 00:10:00 EDT,+7215.99-0.00017777d,+1.70643-0.431544j,+12701.3+14.1919d
2017-10-24 00:11:00 EDT,+7215.99-0.000177762d,+1.70636-0.431525j,+12700.7+14.1919d
2017-10-24 00:12:00 EDT,+7215.99-0.000177754d,+1.70629-0.431507j,+12700.2+14.1919d
2017-10-24 00:13:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:14:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:15:00 EDT,+7215.99-0.000231442d,+2.22196-0.563953j,+16542+14.2412d
2017-10-24 00:16:00 EDT,+7215.99-0.000231428d,+2.22183-0.563919j,+16541+14.2412d
2017-10-24 00:17:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:18:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:19:00 EDT,+7215.99-0.000177701d,+1.70577-0.431376j,+12696.4+14.1919d
2017-10-24 00:20:00 EDT,+7215.99-0.000177693d,+1.7057-0.431357j,+12695.8+14.1919d
2017-10-24 00:21:00 EDT,+7215.99-0.000177686d,+1.70563-0.431338j,+12695.3+14.1919d
2017-10-24 00:22:00 EDT,+7215.99-0.000177678d,+1.70555-0.431319j,+12694.7+14.1919d
2017-10-24 00:23:00 EDT,+7215.99-0.00017767d,+1.70548-0.431301j,+12694.2+14.1919d
2017-10-24 00:24:00 EDT,+7215.99-0.000177663d,+1.70541-0.431282j,+12693.6+14.1918d
2017-10-24 00:25:00 EDT,+7215.99-0.000177655d,+1.70533-0.431263j,+12693.1+14.1918d
2017-10-24 00:26:00 EDT,+7215.99-0.000278548d,+2.67456-0.681146j,+19915.6+14.2878d
2017-10-24 00:27:00 EDT,+7215.99-0.000278527d,+2.67436-0.681093j,+19914.1+14.2878d
2017-10-24 00:28:00 EDT,+7215.99-0.000231259d,+2.2202-0.5635j,+16528.9+14.241d
2017-10-24 00:29:00 EDT,+7215.99-0.000231245d,+2.22007-0.563465j,+16527.9+14.241d
2017-10-24 00:30:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:31:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:32:00 EDT,+7215.99-0.000177602d,+1.70482-0.431132j,+12689.2+14.1918d
2017-10-24 00:33:00 EDT,+7215.99-0.000177594d,+1.70475-0.431113j,+12688.7+14.1918d
2017-10-24 00:34:00 EDT,+7215.99-0.000177586d,+1.70467-0.431094j,+12688.2+14.1918d
2017-10-24 00:35:00 EDT,+7215.99-0.000177579d,+1.7046-0.431075j,+12687.6+14.1918d
2017-10-24 00:36:00 EDT,+7215.99-0.000177571d,+1.70453-0.431057j,+12687.1+14.1918d
2017-10-24 00:37:00 EDT,+7215.99-0.000177563d,+1.70445-0.431038j,+12686.5+14.1918d
2017-10-24 00:38:00 EDT,+7215.99-0.000177556d,+1.70438-0.431019j,+12686+14.1918d
2017-10-24 00:39:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:40:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:41:00 EDT,+7215.99-0.000231077d,+2.21845-0.563048j,+16515.9+14.2409d
2017-10-24 00:42:00 EDT,+7215.99-0.000231063d,+2.21832-0.563014j,+16514.9+14.2409d
2017-10-24 00:43:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:44:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:45:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:46:00 EDT,+7215.99-0.000278127d,+2.67052-0.680093j,+19885.5+14.2874d
2017-10-24 00:47:00 EDT,+7215.99-0.000278106d,+2.67032-0.680041j,+19884+14.2873d
2017-10-24 00:48:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:49:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:50:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:51:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:52:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:53:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:54:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:55:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:56:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:57:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:58:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 00:59:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:00:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:01:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:02:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:03:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:04:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:05:00 EDT,+7215.99-0.000277375d,+2.66329-0.678211j,+19831.6+14.2865d
2017-10-24 01:06:00 EDT,+7215.99-0.000277284d,+2.66241-0.677982j,+19825+14.2864d
2017-10-24 01:07:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:08:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:09:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
2017-10-24 01:10:00 EDT,+7215.99-0.000135145d,+1.29716-0.327284j,+9653.64+14.1605d
